WalkID 4, Step 77, ID 245, energy -194.59267036273386, accpeted true
WalkID 1, Step 89, ID 246, energy -194.1822865740985, accpeted false
WalkID 2, Step 82, ID 247, energy -194.55933014986303, accpeted false
WalkID 3, Step 76, ID 248, energy -194.98422607523864, accpeted false
WalkID 1, Step 90, ID 144, energy -195.10977218530493, accpeted true
WalkID 4, Step 78, ID 249, energy -194.59013010066047, accpeted true
WalkID 2, Step 83, ID 250, energy -194.78350621661744, accpeted false
WalkID 1, Step 91, ID 251, energy -194.74990480484942, accpeted false
WalkID 4, Step 79, ID 252, energy -194.17452406002212, accpeted false
WalkID 2, Step 84, ID 253, energy -194.80592426729487, accpeted false
WalkID 3, Step 77, ID 4, energy -195.19105089827272, accpeted true
WalkID 4, Step 80, ID 254, energy -194.5902801193264, accpeted true
WalkID 1, Step 92, ID 255, energy -195.10561599183575, accpeted true
WalkID 3, Step 78, ID 256, energy -194.9316686029877, accpeted false
WalkID 1, Step 93, ID 257, energy -194.8465269476911, accpeted true
WalkID 2, Step 85, ID 3, energy -195.2491041092962, accpeted true
WalkID 4, Step 81, ID 258, energy -194.07742766068606, accpeted false
WalkID 1, Step 94, ID 259, energy -194.59573439748354, accpeted false
WalkID 3, Step 79, ID 4, energy -195.19105639404788, accpeted true
WalkID 2, Step 86, ID 260, energy -195.14335515697053, accpeted false
WalkID 4, Step 82, ID 261, energy -193.9784420436072, accpeted false
WalkID 2, Step 87, ID 262, energy -194.91148147325327, accpeted false
WalkID 1, Step 95, ID 263, energy -194.04279352558828, accpeted false
WalkID 3, Step 80, ID 4, energy -195.1910511390414, accpeted true
WalkID 4, Step 83, ID 264, energy -194.5786928380082, accpeted true
WalkID 2, Step 88, ID 265, energy -194.92947125415122, accpeted false
WalkID 4, Step 84, ID 266, energy -193.75995162097198, accpeted false
WalkID 3, Step 81, ID 267, energy -194.80326675585346, accpeted false
WalkID 1, Step 96, ID 182, energy -195.11241430032624, accpeted true
WalkID 4, Step 85, ID 268, energy -194.2724668244391, accpeted false
WalkID 2, Step 89, ID 3, energy -195.2491098778188, accpeted true
WalkID 3, Step 82, ID 269, energy -194.8511191228528, accpeted false
WalkID 1, Step 97, ID 270, energy -194.77961328254383, accpeted false
WalkID 2, Step 90, ID 3, energy -195.24910404551056, accpeted true
WalkID 1, Step 98, ID 271, energy -195.05513039632083, accpeted true
WalkID 3, Step 83, ID 272, energy -195.1712436801137, accpeted false
WalkID 2, Step 91, ID 273, energy -195.02653061384868, accpeted false
WalkID 1, Step 99, ID 271, energy -195.05523627369803, accpeted true
WalkID 3, Step 84, ID 274, energy -194.74806598505864, accpeted false
WalkID 2, Step 92, ID 275, energy -194.96965016172666, accpeted false
WalkID 4, Step 86, ID 276, energy -194.58101170603942, accpeted true
WalkID 1, Step 100, ID 277, energy -194.83490533650374, accpeted false
WalkID 3, Step 85, ID 280, energy -194.99660259882472, accpeted false
WalkID 2, Step 93, ID 279, energy -195.10321840589177, accpeted false
WalkID 4, Step 87, ID 278, energy -194.48684677161782, accpeted true
WalkID 2, Step 94, ID 281, energy -194.5027488433017, accpeted false
WalkID 3, Step 86, ID 4, energy -195.19105404926992, accpeted true
WalkID 4, Step 88, ID 282, energy -194.50758486204813, accpeted false
WalkID 2, Step 95, ID 283, energy -195.02576017832817, accpeted false
WalkID 3, Step 87, ID 4, energy -195.19105232136226, accpeted true
WalkID 4, Step 89, ID 284, energy -194.4414178968635, accpeted false
WalkID 2, Step 96, ID 3, energy -195.24910281286193, accpeted true
WalkID 3, Step 88, ID 285, energy -195.17271449931837, accpeted true
WalkID 2, Step 97, ID 3, energy -195.24911038710133, accpeted true
WalkID 4, Step 90, ID 286, energy -194.59960615438402, accpeted true
WalkID 3, Step 89, ID 4, energy -195.19104699134704, accpeted true
WalkID 2, Step 98, ID 3, energy -195.24910579120717, accpeted true
WalkID 4, Step 91, ID 287, energy -194.13121931538623, accpeted false
WalkID 3, Step 90, ID 4, energy -195.19104823452426, accpeted true
WalkID 4, Step 92, ID 288, energy -194.71438294815442, accpeted false
WalkID 2, Step 99, ID 3, energy -195.24909201953778, accpeted true
WalkID 2, Step 100, ID 289, energy -194.95364597338525, accpeted false
WalkID 4, Step 93, ID 290, energy -194.7145438424984, accpeted false
WalkID 3, Step 91, ID 4, energy -195.19104641264354, accpeted true
WalkID 3, Step 92, ID 291, energy -194.54066137294132, accpeted false
WalkID 4, Step 94, ID 292, energy -194.9722755589911, accpeted false
WalkID 4, Step 95, ID 293, energy -194.5947632945039, accpeted true
WalkID 3, Step 93, ID 294, energy -195.15999593401807, accpeted false
WalkID 3, Step 94, ID 295, energy -194.78752134708114, accpeted false
WalkID 4, Step 96, ID 296, energy -194.4935277184263, accpeted true
WalkID 4, Step 97, ID 297, energy -194.48338977123183, accpeted true
WalkID 4, Step 98, ID 298, energy -194.51654955199893, accpeted true
WalkID 3, Step 95, ID 4, energy -195.19105105929518, accpeted true
WalkID 4, Step 99, ID 299, energy -194.8783611357034, accpeted false
WalkID 3, Step 96, ID 4, energy -195.19105168959814, accpeted true
WalkID 4, Step 100, ID 300, energy -194.12621367077077, accpeted false
WalkID 3, Step 97, ID 4, energy -195.1910530065021, accpeted true
WalkID 3, Step 98, ID 4, energy -195.1910489497822, accpeted true
WalkID 3, Step 99, ID 301, energy -194.57681608353872, accpeted false
WalkID 3, Step 100, ID 302, energy -194.16485729795687, accpeted false
